Bin Center, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days
16400,0.028842,0.024067,0.056119,0.033842,0.013483,,0,0.064526,0.076467,0.012394,0.031666,0.045869
16600,0.014421,0.024067,0.074826,0.067683,0.013483,,0,0.043018,0.05735,0.037182,0.015833,0.081544
16800,0.043263,0.024067,0.056119,0.059223,0.026966,,0.039377,0.075281,0.009558,0.049575,0.015833,0.061158
17000,0.014421,0.024067,0.037413,0.016921,0.026966,,0.019689,0.010754,0.009558,0.024788,0.039583,0.025483
17200,0.014421,0.024067,0,0.050763,0.026966,,0.019689,0.053772,0.047792,0,0.071249,0.025483
17400,0.014421,0.016044,0,0.042302,0,,0.039377,0.010754,0.019117,0.049575,0.039583,0.040772
17600,0.014421,0.032089,0.037413,0.050763,0,,0,0.032263,0.019117,0.037182,0.039583,0.025483
17800,0.028842,0.032089,0,0.033842,0.040449,,0.019689,0.032263,0.047792,0.037182,0.031666,0.01529
18000,0.057684,0.0722,0.018706,0.042302,0,,0.019689,0.032263,0.05735,0.024788,0.031666,0.025483
18200,0.028842,0.008022,0,0.042302,0.040449,,0.059066,0.021509,0.05735,0.012394,0.02375,0.020386
18400,0.028842,0.048133,0.037413,0.042302,0.026966,,0,0.021509,0.038233,0.049575,0.039583,0.045869
18600,0.014421,0.008022,0.018706,0.033842,0.013483,,0.039377,0.053772,0.047792,0.024788,0.039583,0.030579
18800,0.028842,0.064177,0.037413,0.00846,0.013483,,0.019689,0.010754,0.028675,0.012394,0.031666,0.030579
19000,0.014421,0.016044,0.037413,0.00846,0,,0.019689,0,0.028675,0.037182,0.031666,0.020386
19200,0.014421,0.008022,0.018706,0.050763,0.013483,,0.019689,0.043018,0.028675,0.012394,0.007917,0.035676
19400,0.028842,0.032089,0,0.033842,0,,0.019689,0.032263,0.028675,0.024788,0.02375,0.01529
19600,0,0.048133,0.056119,0.016921,0.040449,,0.019689,0.032263,0.009558,0.037182,0.015833,0.030579
19800,0.057684,0.040111,0,0.050763,0.026966,,0.019689,0.053772,0.009558,0.037182,0.031666,0.035676
20000,0.057684,0.016044,0,0.025381,0,,0,0.021509,0.019117,0.037182,0.02375,0.025483
20200,0.057684,0.024067,0.018706,0.016921,0,,0.019689,0.032263,0.038233,0.037182,0.031666,0.01529
20400,0.028842,0.008022,0,0.042302,0.013483,,0.059066,0.032263,0.028675,0.024788,0.015833,0.025483
20600,0.057684,0.016044,0.018706,0.016921,0.013483,,0,0.021509,0.038233,0.012394,0.055416,0.025483
20800,0.014421,0,0.018706,0.025381,0.013483,,0,0.021509,0.019117,0.012394,0.039583,0.01529
21000,0,0.032089,0,0.00846,0,,0,0.053772,0.028675,0.024788,0.02375,0.01529
21200,0.028842,0.008022,0.018706,0.016921,0,,0.039377,0.032263,0,0.012394,0.0475,0.030579
21400,0.072104,0.024067,0.018706,0.00846,0,,0.019689,0.053772,0.019117,0,0.039583,0.025483
21600,0.028842,0.024067,0.018706,0.016921,0.026966,,0.039377,0.021509,0.019117,0.024788,0.015833,0.020386
21800,0.028842,0.016044,0.018706,0.016921,0.013483,,0.019689,0,0.019117,0.024788,0,0.020386
22000,0.014421,0.008022,0,0.033842,0.026966,,0.019689,0.032263,0.019117,0.012394,0.031666,0.040772
22200,0.014421,0.024067,0,0.00846,0.026966,,0.019689,0.021509,0.019117,0.024788,0.02375,0.025483
22400,0.014421,0.024067,0,0.025381,0.026966,,0,0,0.066908,0.037182,0,0.01529
22600,0.028842,0.040111,0.018706,0.016921,0,,0,0,0.019117,0.074363,0.031666,0.035676
22800,0.014421,0.016044,0.037413,0.00846,0,,0.019689,0.010754,0.028675,0.012394,0.007917,0.025483
23000,0.028842,0.024067,0.018706,0.016921,0,,0,0.010754,0.019117,0.024788,0.015833,0.025483
23200,0.014421,0.024067,0,0.025381,0,,0,0.021509,0.009558,0.012394,0.015833,0.030579
23400,0.014421,0.008022,0,0.00846,0,,0.019689,0.043018,0,0.037182,0.02375,0.010193
23600,0.028842,0.016044,0,0.00846,0.013483,,0,0.010754,0.028675,0.024788,0.015833,0.005097
23800,0.014421,0.016044,0,0.016921,0.013483,,0.019689,0,0.028675,0,0.055416,0.01529
24000,0.014421,0.016044,0.074826,0.033842,0.013483,,0,0,0.009558,0.024788,0.007917,0.01529
24200,0.014421,0.040111,0.037413,0.016921,0.013483,,0.039377,0.064526,0.019117,0,0.007917,0.005097
24400,0.014421,0.016044,0,0.016921,0,,0,0.032263,0.009558,0.012394,0.0475,0.005097
24600,0.043263,0.024067,0.018706,0.016921,0.026966,,0,0.053772,0.047792,0.037182,0.031666,0.035676
24800,0.028842,0.016044,0.018706,0.025381,0,,0.019689,0.010754,0,0.012394,0.007917,0.020386
25000,0.014421,0.032089,0.018706,0.025381,0,,0.019689,0.032263,0.009558,0.012394,0.031666,0.030579
25200,0.057684,0,0,0,0,,0.019689,0.010754,0.009558,0.037182,0.015833,0.025483
25400,0.014421,0.032089,0.037413,0.00846,0,,0.019689,0,0.009558,0,0.02375,0.01529
25600,0.043263,0,0.037413,0.033842,0,,0,0.032263,0.019117,0.012394,0.039583,0.01529
25800,0.028842,0.016044,0.018706,0.00846,0.013483,,0,0.010754,0.009558,0.012394,0.02375,0.010193
26000,0.043263,0.024067,0,0.025381,0,,0,0.053772,0.009558,0,0.02375,0.005097
26200,0.014421,0.016044,0.018706,0.025381,0,,0.019689,0.032263,0.009558,0.012394,0.02375,0.010193
26400,0,0,0.018706,0.025381,0.026966,,0,0.021509,0.019117,0.012394,0.015833,0.01529
26600,0,0.016044,0,0,0,,0.039377,0.010754,0.019117,0,0.007917,0.025483
26800,0,0.040111,0.018706,0.033842,0.013483,,0,0.021509,0.009558,0.012394,0.007917,0.010193
27000,0.014421,0.008022,0.018706,0.016921,0.013483,,0,0.021509,0.019117,0.012394,0,0.020386
