Bin Center,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days
18600,0.082653,0.021172,0,0.052561013,,,0,0,0,0.01549261,0.02442977,0,0,0.03877409,0.04436189,0.02148539,0.0423588,,0,0.053853,0.032705,0.054438,,
18800,0.041326,0.042344,0.01796,0.031536608,,,0.081834238,0,0,0.01549261,0.00814326,0.02975501,0.03133192,0.05169878,0,0.02148539,0.0282392,,0.033915,0.053853,0.032705,0.054438,,
19000,0,0.042344,0.035919,0.052561013,,,0,0,0.02347964,0.01549261,0.00814326,0.02975501,0.03133192,0.05169878,0.03327142,0.0071618,0.0423588,,0,0,0.024529,0.040828,,
19200,0,0.031758,0,0.063073215,,,0.081834238,0,0,0.02323892,0.00814326,0,0,0.0129247,0.02218095,0.0071618,0.0141196,,0.067829,0,0,0.013609,,
19400,0,0.010586,0.01796,0.063073215,,,0,0.01914931,0.02347964,0.01549261,0.02442977,0,0,0.02584939,0.01109047,0.02148539,0,,0,0.026926,0,0.054438,,
19600,0,0.042344,0.035919,0.021024405,,,0,0.01914931,0.02347964,0.00774631,0,0,0.03133192,0.02584939,0.01109047,0.02148539,0.0423588,,0.011305,0.053853,0.024529,0.027219,,
19800,0,0.031758,0.035919,0.021024405,,,0,0,0,0.01549261,0,0.05951001,0,0.02584939,0.02218095,0.02148539,0.0564784,,0.02261,0.053853,0,0,,
20000,0.123979,0.021172,0,0.010512203,,,0,0,0,0,0.00814326,0.02975501,0,0.03877409,0.04436189,0.02148539,0.0282392,,0.02261,0,0,0.027219,,
20200,0,0.010586,0.053879,0.031536608,,,0,0,0,0.01549261,0,0.02975501,0.03133192,0.03877409,0.01109047,0.02148539,0.0282392,,0.011305,0,0.008176,0.027219,,
20400,0,0.042344,0.035919,0.105122025,,,0,0,0.02347964,0.00774631,0.01628651,0,0,0.05169878,0.03327142,0.0071618,0.0141196,,0,0.026926,0.032705,0.081656,,
20600,0,0.031758,0.035919,0.021024405,,,0,0.03829863,0,0.00774631,0,0,0,0.02584939,0.01109047,0.01432359,0.0423588,,0.033915,0,0.032705,0.054438,,
20800,0.041326,0.021172,0.053879,0.031536608,,,0,0.03829863,0,0.00774631,0.00814326,0,0.03133192,0.02584939,0,0.05729436,0,,0.011305,0.04039,0.016353,0.054438,,
21000,0,0,0,0.010512203,,,0,0.01914931,0.02347964,0.02323892,0.01628651,0,0.06266385,0.03877409,0.01109047,0.04297077,0.0423588,,0.02261,0.013463,0.008176,0.054438,,
21200,0,0.063515,0,0.031536608,,,0,0,0,0.01549261,0,0,0.06266385,0.02584939,0,0.02148539,0.0141196,,0.02261,0.04039,0.008176,0.013609,,
21400,0.041326,0.05293,0.071839,0.021024405,,,0,0,0,0,0,0,0,0.02584939,0,0.03580898,0.070598,,0.02261,0.013463,0.016353,0,,
21600,0,0.031758,0,0.052561013,,,0.081834238,0,0,0,0.00814326,0.02975501,0,0.03877409,0.04436189,0.01432359,0,,0.011305,0,0.016353,0.040828,,
21800,0.041326,0.031758,0.01796,0.021024405,,,0,0.01914931,0,0.01549261,0.03257303,0,0,0.03877409,0,0.02148539,0.0141196,,0,0.04039,0.008176,0.027219,,
22000,0.041326,0.031758,0.01796,0,,,0,0,0.02347964,0,0,0.05951001,0.09399577,0.05169878,0.03327142,0.0071618,0.0282392,,0.033915,0.026926,0.024529,0.040828,,
22200,0,0.031758,0,0.04204881,,,0,0.01914931,0,0.02323892,0.00814326,0,0.03133192,0.0129247,0,0.02148539,0,,0.011305,0.026926,0.008176,0.027219,,
22400,0,0.021172,0.053879,0,,,0,0.01914931,0,0,0,0,0.03133192,0.0129247,0.03327142,0.0071618,0.0423588,,0,0.026926,0.008176,0.027219,,
22600,0,0.010586,0.035919,0.031536608,,,0,0,0,0,0.01628651,0,0.06266385,0.02584939,0.03327142,0.01432359,0.0282392,,0,0.013463,0.024529,0.013609,,
