Bin Center,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,p53 het,p53 het,p53 het,p53 het,p53 het,p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het
10000,0,0,0.061053,0.074933,0.067295,,0.041326,0.105859,0.107758,0.105122025,,,,,,,,,0.082879455,0.055144648,0.09129725,0.161529056,,
10200,0.039571,0,0.015263,0.074933,0.100943,,0,0.095273,0.125718,0.094609823,,,,,,,,,0.103599318,0.082716972,0.156509572,0.133023929,,
10400,0.118712,0.097293,0.106842,0.063405,0.094213,,0.082653,0.116445,0.107758,0.094609823,,,,,,,,,0.020719864,0.193006268,0.130424643,0.133023929,,
10600,0,0,0.091579,0.051877,0.040377,,0.041326,0.074101,0.053879,0.052561013,,,,,,,,,0.062159591,0.193006268,0.078254786,0.152027347,,
10800,0.118712,0,0.076316,0.080698,0.080754,,0.123979,0.084687,0.107758,0.16819524,,,,,,,,,0.062159591,0.055144648,0.078254786,0.199535893,,
11000,0.197853,0.048646,0.076316,0.046113,0.094213,,0.041326,0.137617,0.179597,0.105122025,,,,,,,,,0.2279185,0.13786162,0.09129725,0.142525638,,
11200,0.079141,0.145939,0.030526,0.103754,0.067295,,0.082653,0.063515,0.125718,0.12614643,,,,,,,,,0.062159591,0.082716972,0.117382179,0.142525638,,
11400,0.118712,0.048646,0.152632,0.09799,0.053836,,0,0.148203,0.035919,0.115634228,,,,,,,,,0.062159591,0.165433944,0.104339715,0.123522219,,
11600,0.079141,0,0.030526,0.040349,0.047107,,0.041326,0.095273,0.053879,0.105122025,,,,,,,,,0.103599318,0.13786162,0.013042464,0.133023929,,
11800,0.158282,0.097293,0.091579,0.057641,0.047107,,0.123979,0.084687,0.01796,0.105122025,,,,,,,,,0.041439727,0.082716972,0.169552036,0.104518801,,
12000,0.079141,0.145939,0.061053,0.086462,0.074025,,0.082653,0.063515,0.107758,0.063073215,,,,,,,,,0.062159591,0.055144648,0.065212322,0.076013673,,
12200,0.118712,0,0.045789,0.080698,0.040377,,0.082653,0.063515,0.089798,0.094609823,,,,,,,,,0.062159591,0.055144648,0.104339715,0.133023929,,
12400,0.079141,0,0.152632,0.074933,0.060566,,0,0.116445,0.071839,0.04204881,,,,,,,,,0.082879455,0,0.078254786,0.190034184,,
12600,0.079141,0,0.091579,0.028821,0.100943,,0.123979,0.042344,0.053879,0.04204881,,,,,,,,,0.062159591,0.082716972,0.143467108,0.066511964,,
