Bin Center,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,Kras,Kras,Kras,Kras,Kras,Kras,over,over,over,over,over,over,time,time,time,time,time,time
20800,0.050361977,,0,0,0.029519315,,0.050361977,0,0,0,,,,,,,,,,,,,,
21000,0.025180988,,0.037608812,0,0.007379829,,0.025180988,0,0.037608812,0,,,,,,,,,,,,,,
21200,0.037771483,,0.037608812,0.015176882,0.022139486,,0.037771483,0,0.037608812,0.015176882,,,,,,,,,,,,,,
21400,0.025180988,,0.012536271,0,0.022139486,,0.025180988,0,0.012536271,0,,,,,,,,,,,,,,
21600,0.012590494,,0,0,0.014759658,,0.012590494,0,0,0,,,,,,,,,,,,,,
21800,0.025180988,,0.012536271,0.015176882,0.051658801,,0.025180988,0,0.012536271,0.015176882,,,,,,,,,,,,,,
22000,0,,0.012536271,0,0.014759658,,0,0,0.012536271,0,,,,,,,,,,,,,,
22200,0.025180988,,0.050145083,0.015176882,0.022139486,,0.025180988,0,0.050145083,0.015176882,,,,,,,,,,,,,,
22400,0.012590494,,0.037608812,0.015176882,0.014759658,,0.012590494,0,0.037608812,0.015176882,,,,,,,,,,,,,,
22600,0.012590494,,0.025072542,0.015176882,0.029519315,,0.012590494,0,0.025072542,0.015176882,,,,,,,,,,,,,,
22800,0.012590494,,0.012536271,0.030353765,0.007379829,,0.012590494,0,0.012536271,0.030353765,,,,,,,,,,,,,,
23000,0,,0.012536271,0.015176882,0.007379829,,0,0,0.012536271,0.015176882,,,,,,,,,,,,,,
23200,0,,0.037608812,0.015176882,0.029519315,,0,0,0.037608812,0.015176882,,,,,,,,,,,,,,
23400,0.037771483,,0.037608812,0.030353765,0.007379829,,0.037771483,0,0.037608812,0.030353765,,,,,,,,,,,,,,
23600,0,,0.012536271,0.030353765,0.029519315,,0,0.020015523,0.012536271,0.030353765,,,,,,,,,,,,,,
23800,0.025180988,,0.012536271,0,0.007379829,,0.025180988,0,0.012536271,0,,,,,,,,,,,,,,
24000,0.037771483,,0.012536271,0,0.022139486,,0.037771483,0,0.012536271,0,,,,,,,,,,,,,,
24200,0.025180988,,0.012536271,0,0.014759658,,0.025180988,0,0.012536271,0,,,,,,,,,,,,,,
24400,0.012590494,,0.012536271,0.015176882,0,,0.012590494,0,0.012536271,0.015176882,,,,,,,,,,,,,,
24600,0.012590494,,0.012536271,0.015176882,0.022139486,,0.012590494,0.020015523,0.012536271,0.015176882,,,,,,,,,,,,,,
24800,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
25000,0,,0.012536271,0.030353765,0.007379829,,0,0,0.012536271,0.030353765,,,,,,,,,,,,,,
25200,0.012590494,,0.025072542,0.015176882,0.007379829,,0.012590494,0,0.025072542,0.015176882,,,,,,,,,,,,,,
25400,0.012590494,,0.037608812,0.06070753,0.014759658,,0.012590494,0,0.037608812,0.06070753,,,,,,,,,,,,,,
25600,0.025180988,,0.012536271,0.030353765,0.007379829,,0.025180988,0,0.012536271,0.030353765,,,,,,,,,,,,,,
25800,0,,0.012536271,0,0,,0,0,0.012536271,0,,,,,,,,,,,,,,
26000,0.012590494,,0.012536271,0.015176882,0.014759658,,0.012590494,0.020015523,0.012536271,0.015176882,,,,,,,,,,,,,,
26200,0.012590494,,0.012536271,0.015176882,0.007379829,,0.012590494,0,0.012536271,0.015176882,,,,,,,,,,,,,,
26400,0.025180988,,0.012536271,0,0.022139486,,0.025180988,0.020015523,0.012536271,0,,,,,,,,,,,,,,
26600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
26800,0.037771483,,0.012536271,0,0.022139486,,0.037771483,0,0.012536271,0,,,,,,,,,,,,,,
27000,0.025180988,,0,0,0,,0.025180988,0,0,0,,,,,,,,,,,,,,
27200,0.012590494,,0.012536271,0,0.014759658,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
27400,0.012590494,,0,0.015176882,0.007379829,,0.012590494,0,0,0.015176882,,,,,,,,,,,,,,
27600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
27800,0.012590494,,0,0,0.007379829,,0.012590494,0.020015523,0,0,,,,,,,,,,,,,,
28000,0,,0.025072542,0,0.014759658,,0,0,0.025072542,0,,,,,,,,,,,,,,
28200,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
28400,0.012590494,,0,0.015176882,0.007379829,,0.012590494,0,0,0.015176882,,,,,,,,,,,,,,
28600,0,,0.012536271,0,0.022139486,,0,0,0.012536271,0,,,,,,,,,,,,,,
28800,0.012590494,,0.012536271,0,0,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
29000,0.025180988,,0,0,0,,0.025180988,0,0,0,,,,,,,,,,,,,,
29200,0,,0,0.015176882,0.014759658,,0,0,0,0.015176882,,,,,,,,,,,,,,
29400,0,,0,0,0.029519315,,0,0,0,0,,,,,,,,,,,,,,
29600,0.012590494,,0.012536271,0,0.007379829,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
29800,0.012590494,,0,0.015176882,0.007379829,,0.012590494,0,0,0.015176882,,,,,,,,,,,,,,
30000,0.012590494,,0.012536271,0,0.014759658,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
30200,0.025180988,,0,0.015176882,0.007379829,,0.025180988,0,0,0.015176882,,,,,,,,,,,,,,
30400,0,,0,0,0.014759658,,0,0,0,0,,,,,,,,,,,,,,
30600,0.025180988,,0.012536271,0,0.022139486,,0.025180988,0,0.012536271,0,,,,,,,,,,,,,,
30800,0.025180988,,0,0,0.007379829,,0.025180988,0,0,0,,,,,,,,,,,,,,
